person_id,positive_count,recall@5,recall@10,recall@20,recall@50,recall@100,ndcg@10,ndcg@20,mrr,best_rank,median_rank
Alex,37,0.0,0.0,0.08108108108108109,0.10810810810810811,0.21621621621621623,0.0,0.09864075310061031,0.05555555555555555,18.0,543.0
Anna Maria,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,240.0,327.0
Bree,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,400.0,402.5
Chesska,11,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.047619047619047616,21.0,241.0
Emma,87,0.0,0.0,0.0,0.022988505747126436,0.05747126436781609,0.0,0.0,0.023255813953488372,43.0,595.0
Maddy,77,0.0,0.0,0.0,0.0,0.2077922077922078,0.0,0.0,0.0196078431372549,51.0,342.0
Palatina,49,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.08163265306122448,0.08514311764162098,0.05494858807198588,0.2,5.0,641.0
Sophie,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,147.0,570.5
