person_id,positive_count,recall@5,recall@10,recall@20,recall@50,recall@100,ndcg@10,ndcg@20,mrr,average_precision@20,best_positive_rank,median_positive_rank
Alex,37,0.0,0.0,0.0,0.10810810810810811,0.21621621621621623,0.0,0.0,0.047619047619047616,0.0,21.0,508.0
Anna Maria,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003289473684210526,0.0,304.0,392.0
Bree,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004975124378109453,0.0,201.0,203.5
Chesska,11,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.04,0.0,25.0,266.0
Emma,87,0.0,0.0,0.0,0.034482758620689655,0.04597701149425287,0.0,0.0,0.037037037037037035,0.0,27.0,595.0
Maddy,77,0.0,0.0,0.0,0.03896103896103896,0.19480519480519481,0.0,0.0,0.043478260869565216,0.0,23.0,444.0
Palatina,49,0.0,0.0,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.0,0.03475017269886857,0.0625,0.003125,16.0,516.0
Sophie,54,0.0,0.0,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,0.03233829114831982,0.05,0.0025,20.0,546.5
