person_id,height,bust,waist,hips,product_id,garment_bust,garment_waist,garment_hip,garment_length,garment_sleeve,label_status,bust_ease,waist_ease,hip_ease,bust_ratio,waist_ratio,hip_ratio,bust_mismatch,waist_mismatch,hip_mismatch,bust_relative_mismatch,waist_relative_mismatch,hip_relative_mismatch,mean_ease,ease_std,known_fit_dimensions,tight_dimension_count,extreme_ease_count,length_height_ratio,physical_mismatch,missing_measurement_count,measurement_complete
Jess,176.0,99.0,78.0,112.0,sequin-heart-layered-top#Natural,120.0,140.0,140.0,67.0,67.0,unknown,21.0,62.0,28.0,1.2121212121212122,1.794871794871795,1.25,21.0,62.0,28.0,0.21212121212121213,0.7948717948717948,0.25,37.0,21.93171219946131,3,0,1,0.3806818181818182,0.41899766899766894,0,True
Jess,176.0,99.0,78.0,112.0,the-excess-shirt#Pearl,102.0,108.0,140.0,86.0,73.0,unknown,3.0,30.0,28.0,1.0303030303030303,1.3846153846153846,1.25,3.0,30.0,28.0,0.030303030303030304,0.38461538461538464,0.25,20.333333333333332,15.044378795195676,3,0,0,0.48863636363636365,0.22163947163947165,0,True
Jess,176.0,99.0,78.0,112.0,belle-cowl-swing-sweater#Green,98.0,98.0,114.0,70.0,69.0,positive,-1.0,20.0,2.0,0.98989898989899,1.2564102564102564,1.0178571428571428,1.0,20.0,2.0,0.010101010101010102,0.2564102564102564,0.017857142857142856,7.0,11.357816691600547,3,1,0,0.3977272727272727,0.09478946978946978,0,True
Jess,176.0,99.0,78.0,112.0,stara-cardigan#GreyMarle,112.0,,115.0,94.0,67.0,unknown,13.0,,3.0,1.1313131313131313,,1.0267857142857142,13.0,,3.0,0.13131313131313133,,0.026785714285714284,8.0,7.0710678118654755,2,0,0,0.5340909090909091,0.0790494227994228,1,False
Jess,176.0,99.0,78.0,112.0,the-half-sleeve-tee#Black,116.0,113.0,92.0,75.0,36.0,unknown,17.0,35.0,-20.0,1.1717171717171717,1.4487179487179487,0.8214285714285714,17.0,35.0,20.0,0.1717171717171717,0.44871794871794873,0.17857142857142858,10.666666666666666,28.04163571073081,3,1,0,0.42613636363636365,0.26633551633551633,0,True
Jess,176.0,99.0,78.0,112.0,falling-for-you-cardi#Teal,,,,116.0,64.0,positive,,,,,,,,,,,,,,,0,0,0,0.6590909090909091,,3,False
Jess,176.0,99.0,78.0,112.0,the-batwing-tee#FrenchBlue,,104.0,90.0,75.0,54.0,positive,,26.0,-22.0,,1.3333333333333333,0.8035714285714286,,26.0,22.0,,0.3333333333333333,0.19642857142857142,2.0,33.94112549695428,2,1,0,0.42613636363636365,0.2648809523809524,1,False
Jess,176.0,99.0,78.0,112.0,true-love-bell-blouse#Jade,102.0,108.0,144.0,63.0,59.0,unknown,3.0,30.0,32.0,1.0303030303030303,1.3846153846153846,1.2857142857142858,3.0,30.0,32.0,0.030303030303030304,0.38461538461538464,0.2857142857142857,21.666666666666668,16.19670748434179,3,0,0,0.35795454545454547,0.23354423354423356,0,True
Jess,176.0,99.0,78.0,112.0,foil-spot-tee-1#Navy,100.0,114.0,124.0,70.0,30.0,unknown,1.0,36.0,12.0,1.0101010101010102,1.4615384615384615,1.1071428571428572,1.0,36.0,12.0,0.010101010101010102,0.46153846153846156,0.10714285714285714,16.333333333333332,17.897858344878397,3,0,0,0.3977272727272727,0.19292744292744293,0,True
Jess,176.0,99.0,78.0,112.0,vivian-blouse#Check,106.0,108.0,112.0,65.0,70.0,unknown,7.0,30.0,0.0,1.0707070707070707,1.3846153846153846,1.0,7.0,30.0,0.0,0.0707070707070707,0.38461538461538464,0.0,12.333333333333334,15.69500982265807,3,0,0,0.3693181818181818,0.1517741517741518,0,True
